date,open,high,low,close,volume
1506578400000,0.097,0.11,0.055,0.11,43.0
1506582000000,0.0999,0.0999,0.0992,0.0999,209.44
1506585600000,0.095001,0.1,0.095,0.1,384.19
1506589200000,0.1,0.1,0.096,0.096,644.39
1506592800000,0.09612,0.09714,0.095,0.096,234.73
1506596400000,0.094001,0.094001,0.091132,0.091132,1.6
1506600000000,0.091251,0.091301,0.091251,0.091301,3.33
1506603600000,0.094,0.099999,0.094,0.099999,4.66
1506607200000,0.099999,0.1,0.0915,0.091551,705.48
1506610800000,0.09157,0.0928,0.091551,0.0925,429.01
1506614400000,0.0925,0.097639,0.0925,0.09301,158.91
1506618000000,0.097639,0.1,0.097639,0.09998,165.15
1506621600000,0.099978,0.1009,0.093015,0.1009,498.8
1506625200000,0.1009,0.1009,0.1009,0.1009,14.52
1506628800000,0.1009,0.109998,0.1,0.1,32.2
1506632400000,0.1,0.109998,0.1,0.109998,184.68
1506636000000,0.109998,0.109998,0.1,0.109998,134.25
1506639600000,0.109998,0.109998,0.109997,0.109997,14.78
1506643200000,0.106969,0.106969,0.106969,0.106969,175.32
1506646800000,0.097001,0.097001,0.097,0.097,10.52
1506650400000,0.096,0.106658,0.094,0.106658,475.9
1506654000000,0.0931,0.101255,0.092,0.092455,912.51
1506657600000,0.0925,0.106658,0.0925,0.0935,682.15
1506661200000,0.093503,0.093503,0.092222,0.092222,468.17
1506664800000,0.092222,0.092222,0.092222,0.092222,7.7
1506668400000,0.092224,0.1035,0.092224,0.0926,45.39
1506672000000,0.092701,0.1035,0.092701,0.094527,28.22
1506675600000,0.094527,0.096601,0.094527,0.095506,34.77
1506679200000,0.103635,0.103635,0.094527,0.0946,395.42
1506682800000,0.102499,0.103,0.102499,0.103,81.1
1506686400000,0.100001,0.103725,0.097703,0.100001,672.36
1506690000000,0.097708,0.100001,0.095,0.095,369.48
1506693600000,0.103612,0.103612,0.1,0.1,28.68
1506697200000,0.099699,0.0997,0.095,0.095002,151.5
1506700800000,0.099697,0.103602,0.095003,0.095305,41.61
1506704400000,0.099,0.099,0.096124,0.096125,7.29
1506708000000,0.099999,0.099999,0.096203,0.099,732.0
1506711600000,0.096203,0.101899,0.096202,0.101899,13.07
1506715200000,0.101896,0.101899,0.101896,0.101899,18.63
1506718800000,0.101879,0.1019,0.101879,0.1019,219.55
1506722400000,0.096205,0.096212,0.096205,0.096212,11.0
1506726000000,0.096213,0.103726,0.096202,0.103726,267.72
1506729600000,0.102201,0.102202,0.0962,0.0962,609.44
1506733200000,0.096401,0.09999,0.0962,0.09999,553.08
1506736800000,0.099995,0.103725,0.099995,0.103725,120.0
1506740400000,0.103725,0.103725,0.099997,0.099997,16.53
1506744000000,0.099996,0.099997,0.0969,0.096901,133.57
1506747600000,0.0969,0.1,0.0969,0.1,449.15
1506751200000,0.1,0.103726,0.0962,0.103726,1042.87
1506754800000,0.103726,0.105888,0.103726,0.105888,378.48
1506758400000,0.1,0.1055,0.1,0.105,492.05
1506762000000,0.104553,0.104553,0.1,0.104553,111.87
1506765600000,0.096753,0.096753,0.09675,0.09675,98.03
1506769200000,0.104552,0.104553,0.097254,0.097254,90.61
1506772800000,0.10455,0.10455,0.102,0.1035,472.33
1506776400000,0.10455,0.104553,0.10455,0.104553,900.19
1506780000000,0.104553,0.120001,0.09767,0.107,2339.46
1506783600000,0.107,0.11,0.107,0.1075,271.61
1506787200000,0.107541,0.119875,0.1054,0.1054,378.68
1506790800000,0.106,0.11,0.106,0.108001,153.44
1506794400000,0.109,0.11415,0.10805,0.10807,592.95
1506798000000,0.108799,0.11985,0.1054,0.1054,178.79
1506801600000,0.105501,0.114793,0.105501,0.107552,70.98
1506805200000,0.11287,0.11287,0.105503,0.11198,100.39
1506808800000,0.111973,0.112,0.098682,0.112,317.69
1506812400000,0.112,0.11287,0.108003,0.11287,206.57
1506816000000,0.112868,0.112868,0.108851,0.11265,33.64
1506819600000,0.112645,0.112645,0.108855,0.112637,47.1
1506823200000,0.112635,0.112637,0.112634,0.112637,224.43
1506826800000,0.108852,0.112636,0.0962,0.108011,530.98
1506830400000,0.108011,0.11,0.108011,0.11,2.3
1506834000000,0.11,0.11,0.105001,0.109,323.46
1506837600000,0.1054,0.109,0.1054,0.1089,56.62
1506841200000,0.1089,0.112,0.107702,0.112,99.06
1506844800000,0.111999,0.111999,0.107701,0.108801,126.99
1506848400000,0.1088,0.111968,0.106002,0.106004,399.11
1506852000000,0.111799,0.111799,0.107,0.107,67.83
1506855600000,0.108001,0.11,0.107007,0.109001,43.18
1506859200000,0.109001,0.109001,0.107873,0.107873,60.86
1506862800000,0.107008,0.111679,0.107008,0.109001,348.39
1506866400000,0.109,0.111669,0.109,0.111668,188.77
1506870000000,0.111668,0.111668,0.108,0.110923,180.84
1506873600000,0.108101,0.110922,0.108,0.108,110.8
1506877200000,0.108003,0.111666,0.108003,0.111666,299.8
1506880800000,0.111666,0.111799,0.1105,0.1105,1277.7
1506884400000,0.1106,0.112637,0.1105,0.1105,536.65
1506888000000,0.112636,0.112637,0.1106,0.112637,552.3
1506891600000,0.114,0.115,0.112,0.115,124.0
1506895200000,0.115,0.1163,0.112856,0.116299,211.31
1506898800000,0.116299,0.119875,0.116299,0.119869,71.31
1506902400000,0.117001,0.117001,0.1163,0.117001,278.61
1506906000000,0.119869,0.1239,0.119869,0.122,562.51
1506909600000,0.120001,0.123,0.117003,0.119904,251.55
1506913200000,0.119904,0.119905,0.118,0.119905,187.88
1506916800000,0.119905,0.121696,0.119001,0.121,166.48
1506920400000,0.121,0.129999,0.119,0.128,2388.77
1506924000000,0.127999,0.1299,0.121,0.123001,2926.74
1506927600000,0.124999,0.125001,0.1234,0.123521,548.5
1506931200000,0.123521,0.124996,0.115103,0.123521,558.72
1506934800000,0.123521,0.124999,0.122,0.124998,476.82
1506938400000,0.124998,0.125,0.121235,0.125,390.69
1506942000000,0.124998,0.124998,0.120076,0.120076,126.29
1506945600000,0.120023,0.124899,0.116217,0.118903,453.01
1506949200000,0.124872,0.1249,0.11762,0.117621,147.92
1506952800000,0.118001,0.12487,0.118,0.123,515.19
1506956400000,0.122002,0.122996,0.12,0.122995,199.8
1506960000000,0.122993,0.122993,0.119501,0.119502,237.55
1506963600000,0.119502,0.122107,0.1186,0.118601,111.57
1506967200000,0.118602,0.118603,0.118602,0.118603,15.9
1506970800000,0.122034,0.122107,0.121999,0.122,87.3
1506974400000,0.122,0.122,0.121,0.122,305.4
1506978000000,0.119201,0.123001,0.119201,0.123001,623.31
1506981600000,0.125,0.125,0.121998,0.121998,575.54
1506985200000,0.122,0.124,0.122,0.123963,497.73
1506988800000,0.1221,0.123962,0.121003,0.123,170.52
1506992400000,0.122,0.124,0.12003,0.124,91.66
1506996000000,0.123999,0.124,0.12,0.1219,216.22
1506999600000,0.119201,0.121893,0.1192,0.1192,162.24
1507003200000,0.119201,0.121893,0.119,0.119,365.19
1507006800000,0.119999,0.12989,0.116217,0.1163,731.5
1507010400000,0.116217,0.116217,0.111,0.1111,473.36
1507014000000,0.111081,0.129,0.11037,0.1165,175.31
1507017600000,0.116,0.117001,0.110635,0.117001,91.23
1507021200000,0.122,0.125,0.1147,0.1147,203.93
1507024800000,0.116659,0.11666,0.114701,0.11666,229.77
1507028400000,0.116801,0.124899,0.114703,0.114704,452.07
1507032000000,0.114704,0.114704,0.111193,0.114699,137.24
1507035600000,0.113551,0.114609,0.11,0.11,807.16
1507039200000,0.109999,0.1147,0.109657,0.111,1170.62
1507042800000,0.111,0.1129,0.110111,0.11101,56.89
1507046400000,0.112889,0.1147,0.11101,0.11101,271.49
1507050000000,0.111011,0.113,0.111,0.113,233.27
1507053600000,0.113,0.114659,0.112101,0.114656,130.99
1507057200000,0.114658,0.1173,0.112,0.1173,607.09
1507060800000,0.1173,0.1181,0.112801,0.1179,31.29
1507064400000,0.1174,0.1174,0.112801,0.112802,185.62
1507068000000,0.112812,0.1156,0.112001,0.1156,303.28
1507071600000,0.1125,0.115877,0.112003,0.114926,574.17
1507075200000,0.114926,0.114926,0.1122,0.1122,50.64
1507078800000,0.112201,0.115899,0.112201,0.115899,90.45
1507082400000,0.115899,0.120889,0.112201,0.1175,270.86
1507086000000,0.1172,0.1175,0.112002,0.112202,507.3
1507089600000,0.113603,0.1174,0.112203,0.113999,30.47
1507093200000,0.113998,0.119,0.113995,0.119,544.21
1507096800000,0.12089,0.12089,0.115026,0.119911,158.16
1507100400000,0.1199,0.1199,0.118145,0.1199,388.72
1507104000000,0.1199,0.1199,0.115446,0.115446,291.17
1507107600000,0.114451,0.117872,0.113,0.113,506.08
1507111200000,0.116899,0.116899,0.1102,0.112203,376.9
1507114800000,0.11218,0.112203,0.109,0.112203,2248.92
1507118400000,0.110762,0.110762,0.109007,0.109203,907.84
1507122000000,0.109203,0.113,0.1068,0.1068,624.73
1507125600000,0.1069,0.112299,0.1069,0.106911,136.67
1507129200000,0.108015,0.10911,0.108009,0.10911,259.25
1507132800000,0.10911,0.112888,0.108018,0.112888,441.52
1507136400000,0.108017,0.1121,0.108017,0.109,560.64
1507140000000,0.111398,0.1122,0.10691,0.10691,944.04
1507143600000,0.106911,0.108084,0.106,0.1061,1093.74
1507147200000,0.1061,0.108083,0.103003,0.1073,701.83
1507150800000,0.104015,0.106199,0.10105,0.101132,812.02
1507154400000,0.10484,0.108084,0.1048,0.105401,227.73
1507158000000,0.108217,0.109599,0.105551,0.109599,394.03
1507161600000,0.109589,0.10959,0.10633,0.107501,195.22
1507165200000,0.107506,0.10765,0.1041,0.1041,412.34
1507168800000,0.1041,0.107507,0.10105,0.104099,632.24
1507172400000,0.10451,0.107499,0.101062,0.1022,375.76
1507176000000,0.10221,0.1027,0.1022,0.102502,325.42
1507179600000,0.103,0.103,0.101068,0.10202,591.54
1507183200000,0.10202,0.104596,0.101068,0.101068,767.11
1507186800000,0.101068,0.102999,0.10009,0.102999,677.07
1507190400000,0.103,0.104541,0.102,0.102,1339.63
1507194000000,0.104068,0.11513,0.101002,0.1086,981.93
1507197600000,0.1086,0.11513,0.105301,0.110799,404.69
1507201200000,0.107001,0.1107,0.105602,0.1107,179.97
1507204800000,0.108889,0.119899,0.108889,0.1148,757.39
1507208400000,0.111001,0.114398,0.111,0.114267,485.93
1507212000000,0.111268,0.114263,0.1096,0.1096,952.64
1507215600000,0.1096,0.114,0.108889,0.114,320.96
1507219200000,0.113999,0.113999,0.109001,0.109001,189.26
1507222800000,0.1095,0.1095,0.10581,0.10581,490.59
1507226400000,0.105802,0.109899,0.105802,0.109899,1139.6
1507230000000,0.109899,0.110027,0.108001,0.110027,321.55
1507233600000,0.11,0.1125,0.11,0.1125,42.67
1507237200000,0.11,0.11,0.108003,0.11,596.88
1507240800000,0.11,0.1119,0.109,0.110001,394.32
1507244400000,0.11,0.113099,0.109001,0.109001,223.87
1507248000000,0.113599,0.1151,0.109611,0.109611,660.67
1507251600000,0.109611,0.11,0.1096,0.11,181.03
1507255200000,0.109008,0.111995,0.109008,0.10991,160.5
1507258800000,0.109012,0.111995,0.109009,0.111993,322.64
1507262400000,0.110007,0.110009,0.11,0.11,879.52
1507266000000,0.10903,0.11,0.108005,0.109998,1037.37
1507269600000,0.109998,0.11445,0.109998,0.11445,299.36
1507273200000,0.11445,0.1151,0.11171,0.11171,242.31
1507276800000,0.114798,0.115098,0.112,0.115059,318.07
1507280400000,0.115059,0.115059,0.1118,0.111803,250.14
1507284000000,0.112001,0.114497,0.111803,0.1127,1249.85
1507287600000,0.112701,0.116,0.111803,0.112,743.81
1507291200000,0.113,0.116,0.111901,0.116,616.32
1507294800000,0.1141,0.1162,0.1101,0.111705,2213.01
1507298400000,0.1115,0.1117,0.110202,0.1115,442.34
1507302000000,0.1115,0.113,0.1104,0.1119,528.81
1507305600000,0.111991,0.113799,0.111,0.1112,672.96
1507309200000,0.11117,0.113796,0.110003,0.110351,816.43
1507312800000,0.110004,0.112293,0.109,0.109,1592.65
1507316400000,0.111999,0.111999,0.109006,0.109006,9.04
1507320000000,0.111995,0.111996,0.109007,0.111995,211.07
1507323600000,0.109008,0.112298,0.109007,0.112248,121.85
1507327200000,0.110001,0.112248,0.10915,0.11,433.4
1507330800000,0.111499,0.111499,0.1085,0.1085,1184.74
1507334400000,0.108031,0.111496,0.10721,0.1087,507.25
1507338000000,0.1094,0.1094,0.107,0.1094,661.35
1507341600000,0.107217,0.110597,0.107215,0.110577,357.97
1507345200000,0.11,0.11058,0.108005,0.11058,370.23
1507348800000,0.11,0.1112,0.108203,0.108313,385.01
1507352400000,0.108313,0.11103,0.108047,0.11103,473.93
1507356000000,0.11103,0.111119,0.108301,0.108301,765.13
1507359600000,0.110994,0.110994,0.109,0.109,664.81
1507363200000,0.109,0.110872,0.108302,0.10925,372.3
1507366800000,0.109555,0.110993,0.109061,0.1103,639.11
1507370400000,0.110992,0.110995,0.1098,0.110995,544.89
1507374000000,0.1105,0.1112,0.109801,0.1112,616.95
1507377600000,0.109811,0.113389,0.109092,0.112,2312.91
