date,open,high,low,close,volume
1505188800000,0.05,0.05,0.041,0.0418,3126.91
1505192400000,0.0418,0.044,0.041203,0.043998,5466.92
1505196000000,0.0426,0.043996,0.041146,0.041201,4589.57
1505199600000,0.041203,0.042001,0.041201,0.041499,1109.67
1505203200000,0.04179,0.0421,0.0412,0.041201,1195.04
1505206800000,0.041205,0.041205,0.0412,0.0412,317.95
1505210400000,0.0412,0.041889,0.0412,0.041205,1796.19
1505214000000,0.041205,0.041503,0.041001,0.041002,1002.21
1505217600000,0.041002,0.041002,0.038697,0.040116,1939.93
1505221200000,0.040999,0.041696,0.04,0.04,557.56
1505224800000,0.04,0.041594,0.04,0.041579,836.23
1505228400000,0.040099,0.041421,0.039901,0.039999,426.86
1505232000000,0.039513,0.039957,0.039211,0.03934,169.46
1505235600000,0.039504,0.0406,0.039504,0.039623,1179.38
1505239200000,0.03961,0.03961,0.038697,0.03885,1636.19
1505242800000,0.039,0.039694,0.038107,0.039665,2126.01
1505246400000,0.0394,0.040011,0.039399,0.04001,291.64
1505250000000,0.0402,0.0402,0.040111,0.040111,77.56
1505253600000,0.040111,0.041361,0.04,0.04,746.79
1505257200000,0.04,0.04,0.04,0.04,24.02
1505260800000,0.04,0.04,0.039001,0.039001,34.37
1505264400000,0.039497,0.039497,0.039497,0.039497,39.88
1505268000000,0.039497,0.039497,0.0388,0.0388,439.16
1505271600000,0.038999,0.0413,0.038,0.038,502.59
1505275200000,0.038001,0.038001,0.036,0.03604,1058.94
1505278800000,0.0375,0.039993,0.037401,0.038999,1449.29
1505282400000,0.036514,0.039,0.036514,0.039,996.91
1505286000000,0.038006,0.038006,0.038,0.038,200.37
1505289600000,0.038,0.038699,0.038,0.038699,25.31
1505293200000,0.038699,0.038699,0.037479,0.037479,148.05
1505296800000,0.036809,0.036809,0.036808,0.036808,458.93
1505300400000,0.0375,0.0375,0.036808,0.037,378.65
1505304000000,0.037951,0.038,0.037944,0.038,648.36
1505307600000,0.038,0.038695,0.0375,0.037501,401.05
1505311200000,0.0375,0.0378,0.037012,0.0376,211.64
1505314800000,0.0376,0.038695,0.0376,0.038694,183.08
1505318400000,0.038694,0.039003,0.038694,0.039003,550.77
1505322000000,0.039003,0.041598,0.038802,0.038802,769.87
1505325600000,0.038045,0.039,0.038045,0.039,5.34
1505329200000,0.039,0.0397,0.039,0.039,70.02
1505332800000,0.039728,0.039728,0.039055,0.039055,43.7
1505336400000,0.039725,0.039725,0.0385,0.0385,48.08
1505340000000,0.0385,0.039633,0.038499,0.039633,110.52
1505343600000,0.038368,0.038368,0.038368,0.038368,0.52
1505347200000,0.038601,0.038601,0.038601,0.038601,82.14
1505350800000,0.038601,0.038708,0.038601,0.038708,58.98
1505354400000,0.039835,0.039835,0.038395,0.038395,467.97
1505358000000,0.039714,0.039714,0.038368,0.038368,766.63
1505361600000,0.038368,0.038368,0.038368,0.038368,1476.67
1505365200000,0.038983,0.039,0.038983,0.039,670.5
1505368800000,0.039,0.039,0.039,0.039,0.0
1505372400000,0.039,0.039003,0.039,0.039,374.75
1505376000000,0.039101,0.039101,0.039101,0.039101,96.67
1505379600000,0.03915,0.039152,0.039078,0.039078,99.01
1505383200000,0.038399,0.038399,0.038,0.038,74.04
1505386800000,0.038,0.039323,0.0365,0.0365,573.6
1505390400000,0.0385,0.039093,0.036535,0.036535,1069.55
1505394000000,0.036535,0.039295,0.036,0.039295,2830.66
1505397600000,0.039292,0.039294,0.03602,0.037,399.62
1505401200000,0.037,0.037,0.036161,0.036161,1486.77
1505404800000,0.0366,0.037799,0.036171,0.036171,178.48
1505408400000,0.036171,0.038,0.03499,0.03499,1831.66
1505412000000,0.03499,0.039698,0.034,0.039698,1525.09
1505415600000,0.038,0.038,0.03699,0.0377,374.79
1505419200000,0.03778,0.038221,0.037,0.037768,170.81
1505422800000,0.037768,0.037768,0.0365,0.0365,106.66
1505426400000,0.0375,0.039,0.037,0.0382,131.84
1505430000000,0.037001,0.037111,0.037,0.037,120.0
1505433600000,0.037,0.039698,0.037,0.037,134.96
1505437200000,0.039161,0.039162,0.039161,0.039162,6.95
1505440800000,0.037001,0.038992,0.037,0.037545,133.92
1505444400000,0.037545,0.037545,0.036916,0.036916,1154.6
1505448000000,0.036916,0.036916,0.036916,0.036916,173.98
1505451600000,0.036916,0.036916,0.036916,0.036916,6.9
1505455200000,0.036008,0.036008,0.035,0.035,681.87
1505458800000,0.035,0.035001,0.034013,0.034013,137.64
1505462400000,0.035916,0.036982,0.0351,0.0351,29.55
1505466000000,0.035101,0.036976,0.034288,0.034718,1090.14
1505469600000,0.034718,0.034718,0.0338,0.034042,1011.02
1505473200000,0.033831,0.033832,0.0338,0.0338,1524.19
1505476800000,0.0359,0.0395,0.0359,0.0395,1295.96
1505480400000,0.039699,0.039699,0.036502,0.03655,651.68
1505484000000,0.038989,0.040284,0.03897,0.040284,1382.57
1505487600000,0.04028,0.040284,0.0402,0.0402,708.76
1505491200000,0.040197,0.040286,0.039145,0.040284,1515.51
1505494800000,0.0402,0.040999,0.038541,0.0392,538.36
1505498400000,0.0391,0.041,0.0391,0.039301,489.32
1505502000000,0.041,0.041,0.038717,0.038717,210.11
1505505600000,0.038717,0.038718,0.038717,0.038717,147.16
1505509200000,0.038999,0.039412,0.038999,0.039011,20.26
1505512800000,0.039011,0.039011,0.039011,0.039011,9.89
1505516400000,0.039011,0.039013,0.039011,0.039011,162.6
1505520000000,0.039011,0.039011,0.038057,0.038058,1658.12
1505523600000,0.038505,0.038505,0.038505,0.038505,9.5
1505527200000,0.0389,0.039501,0.0389,0.039026,24.17
1505530800000,0.039171,0.039999,0.039171,0.0398,669.77
1505534400000,0.0398,0.0398,0.038765,0.039786,787.41
1505538000000,0.039712,0.039794,0.0388,0.0388,572.8
1505541600000,0.0388,0.038999,0.038505,0.038999,617.6
1505545200000,0.038999,0.0398,0.038999,0.0398,110.63
1505548800000,0.0398,0.039801,0.0398,0.039801,8.23
1505552400000,0.039801,0.039803,0.039801,0.039802,356.26
1505556000000,0.039802,0.039999,0.038926,0.038926,658.6
1505559600000,0.038926,0.041176,0.038225,0.041176,636.14
1505563200000,0.038733,0.038733,0.038733,0.038733,3.61
1505566800000,0.038733,0.038733,0.038634,0.038634,163.28
1505570400000,0.038638,0.038638,0.038638,0.038638,85.81
1505574000000,0.039998,0.04,0.039998,0.04,127.12
1505577600000,0.039023,0.0395,0.039023,0.0394,116.43
1505581200000,0.0392,0.03939,0.0391,0.03939,287.19
1505584800000,0.03939,0.03939,0.03939,0.03939,0.0
1505588400000,0.03939,0.03939,0.039,0.039,293.62
1505592000000,0.039058,0.039058,0.039057,0.039057,114.02
1505595600000,0.0399,0.0399,0.038759,0.038759,115.57
1505599200000,0.0395,0.03969,0.039289,0.03969,17.98
1505602800000,0.03969,0.03969,0.03969,0.03969,0.0
1505606400000,0.03969,0.03969,0.038797,0.038797,23.92
1505610000000,0.038797,0.038797,0.038797,0.038797,27.9
1505613600000,0.038797,0.039551,0.038,0.03955,506.38
1505617200000,0.03955,0.039551,0.038309,0.038309,138.18
1505620800000,0.038309,0.038309,0.038005,0.038005,645.95
1505624400000,0.038005,0.038005,0.038005,0.038005,0.0
1505628000000,0.0381,0.0381,0.038048,0.038048,271.31
1505631600000,0.038048,0.038048,0.038048,0.038048,0.0
1505635200000,0.0375,0.038,0.036846,0.038,541.06
1505638800000,0.038,0.0385,0.038,0.0385,273.07
1505642400000,0.038399,0.038399,0.038399,0.038399,8.0
1505646000000,0.038269,0.0385,0.038269,0.038279,244.69
1505649600000,0.038279,0.038279,0.038269,0.038269,17.1
1505653200000,0.038269,0.038599,0.038269,0.038599,3848.16
1505656800000,0.0383,0.0383,0.0383,0.0383,0.27
1505660400000,0.039,0.039,0.0383,0.0383,8.88
1505664000000,0.0383,0.039327,0.0383,0.039327,22.08
1505667600000,0.0388,0.0388,0.038307,0.038307,227.01
1505671200000,0.039325,0.039326,0.039325,0.039326,286.76
1505674800000,0.039326,0.039326,0.039326,0.039326,0.0
1505678400000,0.038642,0.039239,0.038641,0.039239,94.92
1505682000000,0.038989,0.03899,0.038989,0.03899,108.06
1505685600000,0.03899,0.03899,0.03899,0.03899,0.0
1505689200000,0.038701,0.038701,0.0387,0.0387,121.0
1505692800000,0.0387,0.0387,0.0387,0.0387,9.25
1505696400000,0.0387,0.0387,0.038,0.038,71.98
1505700000000,0.038,0.038,0.037999,0.037999,437.7
1505703600000,0.035148,0.0368,0.035148,0.036698,168.82
1505707200000,0.036695,0.037497,0.036048,0.036048,285.35
1505710800000,0.036993,0.036993,0.036,0.036016,668.31
1505714400000,0.036017,0.0365,0.036017,0.0365,169.84
1505718000000,0.037497,0.0386,0.037497,0.0386,30.48
1505721600000,0.03751,0.03751,0.03751,0.03751,82.9
1505725200000,0.03751,0.037601,0.03751,0.0376,146.08
